"Entidad","UPM","VIV_SEL","HOGAR","RESUL_H","R_SEL","AREAM","AP4_1","AP4_2_03","FAC_ELE"
"30","3005783","05","01","B","03",NA,"3","0",4232
"30","3063066","05","01","B","03",NA,"3","0",1659
"24","2400080","02","01","B","02",NA,"3","0",834
"32","3200549","02","01","B","01","32","2","1",458
"14","1411259","17","01","B","02",NA,"3","0",4800
"28","2800802","02","01","A","02","10","3","0",666
"28","2807703","18","01","B","01",NA,"3","0",705
"14","1400208","02","01","A","02","02","3","0",1768
"28","2805627","02","01","A","01","10","3","0",963
"16","1600166","03","01","B","01","15","3","0",792
"02","0204232","01","01","A","02","21","3","0",838
"11","1108916","13","01","A","01",NA,"3","1",2322
"03","0300536","01","01","B","01","40","3","1",90
"19","1911028","12","01","B","02",NA,"3","0",1738
"30","3002335","05","01","B","03",NA,"3","0",1682
"16","1603918","10","01","B","01",NA,"3","0",350
"07","0703995","15","01","B","01",NA,"3","0",700
"31","3103037","02","01","A","01",NA,"3","0",790
"05","0505002","01","01","B","05",NA,"1","1",2255
"31","3103961","07","01","B","01",NA,"3","0",544
"12","1204469","19","01","B","01",NA,"3","0",942
"24","2460540","10","01","B","01",NA,"3","0",1236
"26","2605074","01","01","A","01",NA,"3","1",495
"22","2200698","05","01","A","05","36","3","0",830
"32","3201065","02","04","B","01","32","3","1",512
"16","1602812","10","01","B","03",NA,"1","1",1705
"25","2504640","04","01","B","02",NA,"3","0",470
"23","2301199","03","01","B","02","41","3","1",390
"32","3201556","04","01","B","01",NA,"3","0",370
"24","2460928","18","01","A","02",NA,"3","0",936
"03","0301093","01","01","A","02",NA,"3","0",148
"05","0506271","02","01","B","01",NA,"3","0",872
"06","0600196","02","01","B","01","33","3","1",66
"23","2303326","19","01","B","01",NA,"1","0",182
"28","2801666","03","01","A","01",NA,"3","0",288
"17","1702476","09","01","A","01",NA,"3","1",558
"28","2860337","17","01","B","01",NA,"3","0",454
"19","1903546","01","01","B","01","03","3","1",1638
"16","1661495","11","01","B","01",NA,"3","1",600
"20","2000117","02","01","B","01","31","3","0",850
"02","0201940","05","01","B","01",NA,"3","0",1248
"05","0501265","05","01","B","04",NA,"3","0",1504
"13","1360119","08","01","B","02",NA,"3","0",544
"15","1508952","04","01","A","03","01","3","0",8365
"15","1522223","02","01","B","01","01","3","1",1667
"30","3002671","01","01","B","01",NA,"3","1",2364
"11","1108179","03","01","B","01",NA,"3","1",1210
"30","3060546","12","01","B","01",NA,"3","0",3712
"14","1402174","05","01","B","06","02","3","0",3244
"31","3104109","05","01","B","02",NA,"3","0",304
"05","0500399","04","01","B","02",NA,"3","0",682
"08","0803451","05","01","B","01",NA,"3","1",362
"06","0660073","07","01","B","01",NA,"3","0",128
"06","0600345","01","01","B","02","33","3","1",234
"29","2902113","03","01","B","03","39","3","0",447
"10","1000868","04","01","B","01","26","3","0",900
"18","1801291","10","01","B","01",NA,"3","0",600
"32","3201091","04","01","A","01","32","3","0",254
"30","3063181","04","01","B","01",NA,"3","0",1172
"01","0102064","04","01","B","03","14","1","1",1240
"16","1660138","14","01","B","02",NA,"3","1",654
"19","1909658","05","01","B","03","03","3","0",1779
"07","0701992","02","01","B","01","19","3","0",854
"11","1106628","02","01","B","02","05","3","0",1462
"17","1701287","02","01","A","01","29","3","0",1020
